Sample_Index,Richness,Total_Reads,Site,Plant_ID,Compartment,Compartment_Label
43,70,0.9999999999999897,1,1_4,Fruit_EN,Fruit endophyte
45,22,0.9999999999999988,1,1_4,Fruit_EP,Fruit epiphyte
47,122,0.9999999999999922,1,1_4,Leaf_EN,Leaf endophyte
49,24,0.9999999999999998,1,1_4,Leaf_EP,Leaf epiphyte
51,225,0.9999999999999787,1,1_4,Root,Root
53,171,0.9999999999999859,1,1_4,Soil_1m,Bulk soil (>1 m)
55,293,0.9999999999999736,1,1_4,Soil_p,Rhizosphere soil
57,56,0.9999999999999949,1,1_5,Fruit_EN,Fruit endophyte
59,22,0.9999999999999972,1,1_5,Fruit_EP,Fruit epiphyte
61,50,0.9999999999999969,1,1_5,Leaf_EN,Leaf endophyte
63,24,0.9999999999999976,1,1_5,Leaf_EP,Leaf epiphyte
65,158,0.9999999999999867,1,1_5,Root,Root
67,205,0.9999999999999828,1,1_5,Soil_1m,Bulk soil (>1 m)
69,15,0.9999999999999988,1,1_5,Soil_p,Rhizosphere soil
71,62,0.9999999999999966,1,1_6,Fruit_EN,Fruit endophyte
73,35,1.0000000000000864,1,1_6,Fruit_EP,Fruit epiphyte
75,75,1.0000000000000102,1,1_6,Leaf_EN,Leaf endophyte
77,39,0.9999999999999974,1,1_6,Leaf_EP,Leaf epiphyte
79,309,0.9999999999999732,1,1_6,Root,Root
81,205,0.9999999999999839,1,1_6,Soil_1m,Bulk soil (>1 m)
83,266,0.9999999999999774,1,1_6,Soil_p,Rhizosphere soil
85,61,0.9999999999999954,1,1_7,Fruit_EN,Fruit endophyte
87,23,0.999999999999993,1,1_7,Fruit_EP,Fruit epiphyte
89,106,0.9999999999999798,1,1_7,Leaf_EN,Leaf endophyte
91,73,1.000000000000007,1,1_7,Leaf_EP,Leaf epiphyte
93,16,0.9999999999999991,1,1_7,Root,Root
95,245,0.9999999999999968,1,1_7,Soil_1m,Bulk soil (>1 m)
97,200,0.9999999999999808,1,1_7,Soil_p,Rhizosphere soil
113,35,0.9999999999999887,1,1_9,Fruit_EN,Fruit endophyte
115,29,0.9999999999999979,1,1_9,Fruit_EP,Fruit epiphyte
117,149,1.000000000000012,1,1_9,Leaf_EN,Leaf endophyte
119,52,0.9999999999999836,1,1_9,Leaf_EP,Leaf epiphyte
121,184,0.9999999999999838,1,1_9,Root,Root
123,265,0.9999999999999778,1,1_9,Soil_1m,Bulk soil (>1 m)
125,271,0.9999999999999768,1,1_9,Soil_p,Rhizosphere soil
127,44,0.9999999999999966,1,1_10,Fruit_EN,Fruit endophyte
129,37,0.9999999999999947,1,1_10,Fruit_EP,Fruit epiphyte
131,79,1.000000000000109,1,1_10,Leaf_EN,Leaf endophyte
133,96,0.9999999999998931,1,1_10,Leaf_EP,Leaf epiphyte
135,115,0.9999999999999931,1,1_10,Root,Root
137,275,0.9999999999999798,1,1_10,Soil_1m,Bulk soil (>1 m)
139,242,0.9999999999999807,1,1_10,Soil_p,Rhizosphere soil
141,144,0.9999999999999832,2,2_1,Fruit_EN,Fruit endophyte
143,56,1.0000000000000637,2,2_1,Fruit_EP,Fruit epiphyte
145,105,0.9999999999999898,2,2_1,Leaf_EN,Leaf endophyte
147,94,1.0000000000000053,2,2_1,Leaf_EP,Leaf epiphyte
149,82,0.9999999999999937,2,2_1,Root,Root
151,202,0.9999999999999829,2,2_1,Soil_1m,Bulk soil (>1 m)
153,236,0.9999999999999797,2,2_1,Soil_p,Rhizosphere soil
155,94,0.9999999999999934,2,2_2,Fruit_EN,Fruit endophyte
157,51,0.9999999999999966,2,2_2,Fruit_EP,Fruit epiphyte
159,89,0.9999999999999912,2,2_2,Leaf_EN,Leaf endophyte
161,77,1.0000000000000198,2,2_2,Leaf_EP,Leaf epiphyte
163,83,0.999999999999995,2,2_2,Root,Root
165,283,0.9999999999999778,2,2_2,Soil_1m,Bulk soil (>1 m)
167,255,0.999999999999979,2,2_2,Soil_p,Rhizosphere soil
169,118,0.9999999999999926,2,2_3,Fruit_EN,Fruit endophyte
171,35,1.000000000000003,2,2_3,Fruit_EP,Fruit epiphyte
173,71,0.9999999999999969,2,2_3,Leaf_EN,Leaf endophyte
175,76,1.000000000000017,2,2_3,Leaf_EP,Leaf epiphyte
177,136,0.9999999999999883,2,2_3,Root,Root
179,222,0.9999999999999823,2,2_3,Soil_1m,Bulk soil (>1 m)
181,204,0.9999999999999833,2,2_3,Soil_p,Rhizosphere soil
183,120,1.0000000000000553,2,2_4,Fruit_EN,Fruit endophyte
185,44,0.9999999999996311,2,2_4,Fruit_EP,Fruit epiphyte
187,16,0.9999999999999989,2,2_4,Leaf_EN,Leaf endophyte
189,55,1.0000000000000022,2,2_4,Leaf_EP,Leaf epiphyte
191,166,0.9999999999999842,2,2_4,Root,Root
193,173,0.9999999999999843,2,2_4,Soil_1m,Bulk soil (>1 m)
195,257,0.9999999999999796,2,2_4,Soil_p,Rhizosphere soil
197,120,0.9999999999999946,2,2_5,Fruit_EN,Fruit endophyte
199,59,1.0000000000006861,2,2_5,Fruit_EP,Fruit epiphyte
201,150,0.9999999999999867,2,2_5,Leaf_EN,Leaf endophyte
203,70,0.9999999999999954,2,2_5,Leaf_EP,Leaf epiphyte
205,146,0.9999999999999889,2,2_5,Root,Root
207,143,0.9999999999999876,2,2_5,Soil_1m,Bulk soil (>1 m)
209,290,0.9999999999999754,2,2_5,Soil_p,Rhizosphere soil
211,100,1.0000000000001223,2,2_6,Fruit_EN,Fruit endophyte
213,46,0.9999999999999892,2,2_6,Fruit_EP,Fruit epiphyte
215,154,0.9999999999999855,2,2_6,Leaf_EN,Leaf endophyte
217,90,0.9999999999999959,2,2_6,Leaf_EP,Leaf epiphyte
219,174,0.9999999999999838,2,2_6,Root,Root
221,229,0.9999999999999797,2,2_6,Soil_1m,Bulk soil (>1 m)
223,212,0.99999999999998,2,2_6,Soil_p,Rhizosphere soil
225,105,1.000000000000125,2,2_7,Fruit_EN,Fruit endophyte
227,62,0.9999999999999458,2,2_7,Fruit_EP,Fruit epiphyte
229,198,0.9999999999999772,2,2_7,Leaf_EN,Leaf endophyte
231,152,0.9999999999999787,2,2_7,Leaf_EP,Leaf epiphyte
233,236,0.9999999999999779,2,2_7,Root,Root
235,306,0.9999999999999812,2,2_7,Soil_1m,Bulk soil (>1 m)
237,231,0.9999999999999793,2,2_7,Soil_p,Rhizosphere soil
239,52,0.9999999999999967,2,2_8,Fruit_EN,Fruit endophyte
241,64,0.999999999999965,2,2_8,Fruit_EP,Fruit epiphyte
243,97,1.000000000000004,2,2_8,Leaf_EN,Leaf endophyte
245,87,0.9999999999999851,2,2_8,Leaf_EP,Leaf epiphyte
247,185,0.9999999999999833,2,2_8,Root,Root
249,244,0.99999999999998,2,2_8,Soil_1m,Bulk soil (>1 m)
251,221,0.9999999999999802,2,2_8,Soil_p,Rhizosphere soil
253,101,0.9999999999999902,2,2_9,Fruit_EN,Fruit endophyte
255,41,1.0000000000000184,2,2_9,Fruit_EP,Fruit epiphyte
257,116,0.9999999999999906,2,2_9,Leaf_EN,Leaf endophyte
259,48,1.000000000000002,2,2_9,Leaf_EP,Leaf epiphyte
261,177,0.9999999999999853,2,2_9,Root,Root
263,286,0.9999999999999772,2,2_9,Soil_1m,Bulk soil (>1 m)
265,265,0.9999999999999785,2,2_9,Soil_p,Rhizosphere soil
267,48,0.9999999999994197,2,2_10,Fruit_EN,Fruit endophyte
269,44,1.000000000000002,2,2_10,Fruit_EP,Fruit epiphyte
271,154,0.9999999999999902,2,2_10,Leaf_EN,Leaf endophyte
273,177,0.9999999999999813,2,2_10,Leaf_EP,Leaf epiphyte
275,83,0.9999999999999946,2,2_10,Root,Root
277,240,0.9999999999999817,2,2_10,Soil_1m,Bulk soil (>1 m)
279,271,0.9999999999999759,2,2_10,Soil_p,Rhizosphere soil
309,31,0.9999999999999976,3,3_3,Fruit_EN,Fruit endophyte
311,56,0.9999999999999951,3,3_3,Fruit_EP,Fruit epiphyte
313,88,0.9999999999999941,3,3_3,Leaf_EN,Leaf endophyte
315,96,0.9999999999999774,3,3_3,Leaf_EP,Leaf epiphyte
317,164,0.9999999999999862,3,3_3,Root,Root
319,213,0.9999999999999839,3,3_3,Soil_1m,Bulk soil (>1 m)
321,275,0.999999999999977,3,3_3,Soil_p,Rhizosphere soil
323,18,0.9999999999999937,3,3_4,Fruit_EN,Fruit endophyte
325,44,0.9999999999999793,3,3_4,Fruit_EP,Fruit epiphyte
327,87,1.0000000000000042,3,3_4,Leaf_EN,Leaf endophyte
329,40,0.9999999999999953,3,3_4,Leaf_EP,Leaf epiphyte
331,312,0.9999999999999718,3,3_4,Root,Root
333,337,0.9999999999999735,3,3_4,Soil_1m,Bulk soil (>1 m)
335,334,0.999999999999974,3,3_4,Soil_p,Rhizosphere soil
337,66,0.9999999999999947,3,3_5,Fruit_EN,Fruit endophyte
339,33,0.9999999999990841,3,3_5,Fruit_EP,Fruit epiphyte
341,112,0.9999999999999917,3,3_5,Leaf_EN,Leaf endophyte
343,87,0.9999999999999902,3,3_5,Leaf_EP,Leaf epiphyte
345,267,0.9999999999999758,3,3_5,Root,Root
347,270,0.9999999999999786,3,3_5,Soil_1m,Bulk soil (>1 m)
349,358,0.9999999999999686,3,3_5,Soil_p,Rhizosphere soil
351,86,0.999999999999993,3,3_6,Fruit_EN,Fruit endophyte
353,42,0.9999999999999953,3,3_6,Fruit_EP,Fruit epiphyte
355,97,0.9999999999999919,3,3_6,Leaf_EN,Leaf endophyte
357,58,0.9999999999999635,3,3_6,Leaf_EP,Leaf epiphyte
359,105,0.9999999999999933,3,3_6,Root,Root
361,247,0.9999999999999792,3,3_6,Soil_1m,Bulk soil (>1 m)
363,208,0.9999999999999827,3,3_6,Soil_p,Rhizosphere soil
365,61,0.9999999999999947,3,3_7,Fruit_EN,Fruit endophyte
367,28,0.9999999999999979,3,3_7,Fruit_EP,Fruit epiphyte
369,111,0.9999999999999896,3,3_7,Leaf_EN,Leaf endophyte
371,43,0.9999999999999971,3,3_7,Leaf_EP,Leaf epiphyte
373,256,0.9999999999999767,3,3_7,Root,Root
375,128,0.9999999999999912,3,3_7,Soil_1m,Bulk soil (>1 m)
377,322,0.9999999999999724,3,3_7,Soil_p,Rhizosphere soil
379,56,0.9999999999999963,3,3_8,Fruit_EN,Fruit endophyte
381,32,0.999999999999999,3,3_8,Fruit_EP,Fruit epiphyte
383,53,0.9999999999999971,3,3_8,Leaf_EN,Leaf endophyte
385,35,0.9999999999999981,3,3_8,Leaf_EP,Leaf epiphyte
387,138,0.9999999999999871,3,3_8,Root,Root
389,266,0.9999999999999801,3,3_8,Soil_1m,Bulk soil (>1 m)
391,302,0.9999999999999742,3,3_8,Soil_p,Rhizosphere soil
421,64,0.9999999999993172,4,4_1,Fruit_EN,Fruit endophyte
423,30,1.0000000000000753,4,4_1,Fruit_EP,Fruit epiphyte
425,56,1.0000000000000009,4,4_1,Leaf_EN,Leaf endophyte
427,34,0.9999999999999916,4,4_1,Leaf_EP,Leaf epiphyte
429,7,1,4,4_1,Root,Root
431,233,0.9999999999999803,4,4_1,Soil_1m,Bulk soil (>1 m)
433,322,0.9999999999999747,4,4_1,Soil_p,Rhizosphere soil
435,49,0.9999999999999951,4,4_2,Fruit_EN,Fruit endophyte
437,41,1.00000000000003,4,4_2,Fruit_EP,Fruit epiphyte
439,60,0.9999999999999944,4,4_2,Leaf_EN,Leaf endophyte
441,123,0.9999999999999968,4,4_2,Leaf_EP,Leaf epiphyte
443,135,0.9999999999999889,4,4_2,Root,Root
445,284,0.9999999999999781,4,4_2,Soil_1m,Bulk soil (>1 m)
447,341,0.9999999999999691,4,4_2,Soil_p,Rhizosphere soil
449,55,0.9999999999999962,4,4_3,Fruit_EN,Fruit endophyte
451,30,0.9999999999999981,4,4_3,Fruit_EP,Fruit epiphyte
453,132,0.9999999999999861,4,4_3,Leaf_EN,Leaf endophyte
455,136,0.9999999999999865,4,4_3,Leaf_EP,Leaf epiphyte
457,256,0.9999999999999786,4,4_3,Root,Root
459,309,0.9999999999999778,4,4_3,Soil_1m,Bulk soil (>1 m)
461,298,0.9999999999999759,4,4_3,Soil_p,Rhizosphere soil
463,72,0.9999999999999929,4,4_4,Fruit_EN,Fruit endophyte
465,33,0.9999999999999997,4,4_4,Fruit_EP,Fruit epiphyte
467,82,0.9999999999999944,4,4_4,Leaf_EN,Leaf endophyte
469,102,1.0000000000000062,4,4_4,Leaf_EP,Leaf epiphyte
471,168,0.9999999999999831,4,4_4,Root,Root
473,260,0.9999999999999789,4,4_4,Soil_1m,Bulk soil (>1 m)
475,197,0.9999999999999842,4,4_4,Soil_p,Rhizosphere soil
491,53,0.9999999999999958,4,4_6,Fruit_EN,Fruit endophyte
493,21,1.000000000000001,4,4_6,Fruit_EP,Fruit epiphyte
495,73,0.999999999999995,4,4_6,Leaf_EN,Leaf endophyte
497,46,0.9999999999999983,4,4_6,Leaf_EP,Leaf epiphyte
499,234,0.9999999999999811,4,4_6,Root,Root
501,189,0.999999999999985,4,4_6,Soil_1m,Bulk soil (>1 m)
503,276,0.9999999999999768,4,4_6,Soil_p,Rhizosphere soil
505,72,0.9999999999999943,4,4_7,Fruit_EN,Fruit endophyte
507,26,0.9999999999999984,4,4_7,Fruit_EP,Fruit epiphyte
509,71,1.0000000000000089,4,4_7,Leaf_EN,Leaf endophyte
511,30,1.0000000000000004,4,4_7,Leaf_EP,Leaf epiphyte
513,218,0.9999999999999827,4,4_7,Root,Root
515,163,0.9999999999999879,4,4_7,Soil_1m,Bulk soil (>1 m)
517,251,0.9999999999999795,4,4_7,Soil_p,Rhizosphere soil
519,82,0.9999999999999886,4,4_8,Fruit_EN,Fruit endophyte
521,30,0.9999999999999977,4,4_8,Fruit_EP,Fruit epiphyte
523,48,0.9999999999999972,4,4_8,Leaf_EN,Leaf endophyte
525,76,0.999999999999992,4,4_8,Leaf_EP,Leaf epiphyte
527,221,0.9999999999999812,4,4_8,Root,Root
529,281,0.999999999999979,4,4_8,Soil_1m,Bulk soil (>1 m)
531,205,0.9999999999999842,4,4_8,Soil_p,Rhizosphere soil
533,80,0.9999999999999919,4,4_9,Fruit_EN,Fruit endophyte
535,28,0.9999999999998502,4,4_9,Fruit_EP,Fruit epiphyte
537,78,0.9999999999999949,4,4_9,Leaf_EN,Leaf endophyte
539,38,0.9999999999999962,4,4_9,Leaf_EP,Leaf epiphyte
541,200,0.9999999999999833,4,4_9,Root,Root
543,282,0.9999999999999787,4,4_9,Soil_1m,Bulk soil (>1 m)
545,275,0.9999999999999774,4,4_9,Soil_p,Rhizosphere soil
561,26,0.9999999999999964,5,5_1,Fruit_EN,Fruit endophyte
563,35,0.9999999999999942,5,5_1,Fruit_EP,Fruit epiphyte
565,43,0.9999999999999969,5,5_1,Leaf_EN,Leaf endophyte
567,62,0.9999999999999947,5,5_1,Leaf_EP,Leaf epiphyte
569,175,0.999999999999987,5,5_1,Root,Root
571,277,0.9999999999999775,5,5_1,Soil_1m,Bulk soil (>1 m)
573,292,0.9999999999999775,5,5_1,Soil_p,Rhizosphere soil
575,31,0.9999999999999983,5,5_2,Fruit_EN,Fruit endophyte
577,37,1.0000000000000167,5,5_2,Fruit_EP,Fruit epiphyte
579,46,0.9999999999999968,5,5_2,Leaf_EN,Leaf endophyte
581,39,0.9999999999999981,5,5_2,Leaf_EP,Leaf epiphyte
583,87,0.9999999999999952,5,5_2,Root,Root
585,291,0.9999999999999732,5,5_2,Soil_1m,Bulk soil (>1 m)
587,204,0.9999999999999838,5,5_2,Soil_p,Rhizosphere soil
589,45,1.000000000000265,5,5_3,Fruit_EN,Fruit endophyte
591,39,1.0000000000000555,5,5_3,Fruit_EP,Fruit epiphyte
593,118,1.000000000000007,5,5_3,Leaf_EN,Leaf endophyte
595,54,0.9999999999999971,5,5_3,Leaf_EP,Leaf epiphyte
597,45,0.9999999999999984,5,5_3,Root,Root
599,23,1,5,5_3,Soil_1m,Bulk soil (>1 m)
601,224,0.9999999999999811,5,5_3,Soil_p,Rhizosphere soil
603,18,0.999999999999999,5,5_4,Fruit_EN,Fruit endophyte
605,23,0.9999999999999989,5,5_4,Fruit_EP,Fruit epiphyte
607,102,0.9999999999999915,5,5_4,Leaf_EN,Leaf endophyte
609,69,0.9999999999999939,5,5_4,Leaf_EP,Leaf epiphyte
611,34,0.9999999999999987,5,5_4,Root,Root
613,210,0.9999999999999817,5,5_4,Soil_1m,Bulk soil (>1 m)
615,159,0.9999999999999867,5,5_4,Soil_p,Rhizosphere soil
617,22,0.9999999999999987,5,5_5,Fruit_EN,Fruit endophyte
619,37,0.9999999999999972,5,5_5,Fruit_EP,Fruit epiphyte
621,88,0.9999999999999939,5,5_5,Leaf_EN,Leaf endophyte
623,146,0.9999999999999923,5,5_5,Leaf_EP,Leaf epiphyte
625,130,0.999999999999996,5,5_5,Root,Root
627,321,0.9999999999999744,5,5_5,Soil_1m,Bulk soil (>1 m)
629,223,0.9999999999999853,5,5_5,Soil_p,Rhizosphere soil
631,36,0.999999999999997,5,5_6,Fruit_EN,Fruit endophyte
633,21,0.9999999999999983,5,5_6,Fruit_EP,Fruit epiphyte
635,80,0.9999999999999968,5,5_6,Leaf_EN,Leaf endophyte
637,90,0.9999999999999872,5,5_6,Leaf_EP,Leaf epiphyte
639,166,0.9999999999999875,5,5_6,Root,Root
641,246,0.9999999999999775,5,5_6,Soil_1m,Bulk soil (>1 m)
643,290,0.9999999999999769,5,5_6,Soil_p,Rhizosphere soil
